distance matrix with 200 points
value range: [0.0119583,2.82822]
persistence intervals in dim 0:
 [0,0.0119583)
 [0,0.026001)
 [0,0.0309443)
 [0,0.0359486)
 [0,0.0493775)
 [0,0.0562493)
 [0,0.0726089)
 [0,0.0818888)
 [0,0.0870407)
 [0,0.0872329)
 [0,0.0925815)
 [0,0.0968394)
 [0,0.102817)
 [0,0.107482)
 [0,0.110062)
 [0,0.114778)
 [0,0.117546)
 [0,0.11998)
 [0,0.121366)
 [0,0.122094)
 [0,0.122351)
 [0,0.127322)
 [0,0.131149)
 [0,0.134994)
 [0,0.137601)
 [0,0.141003)
 [0,0.147715)
 [0,0.151632)
 [0,0.152833)
 [0,0.156603)
 [0,0.159227)
 [0,0.160202)
 [0,0.160936)
 [0,0.164898)
 [0,0.169066)
 [0,0.17118)
 [0,0.171856)
 [0,0.172686)
 [0,0.17295)
 [0,0.177784)
 [0,0.181221)
 [0,0.183339)
 [0,0.183862)
 [0,0.184236)
 [0,0.189362)
 [0,0.189616)
 [0,0.190003)
 [0,0.192319)
 [0,0.192767)
 [0,0.198338)
 [0,0.201095)
 [0,0.201576)
 [0,0.20508)
 [0,0.206146)
 [0,0.208473)
 [0,0.209626)
 [0,0.209891)
 [0,0.21282)
 [0,0.21499)
 [0,0.215727)
 [0,0.216302)
 [0,0.216979)
 [0,0.218011)
 [0,0.218523)
 [0,0.22121)
 [0,0.222494)
 [0,0.222567)
 [0,0.226887)
 [0,0.229818)
 [0,0.231272)
 [0,0.233)
 [0,0.235171)
 [0,0.238081)
 [0,0.238119)
 [0,0.239356)
 [0,0.242462)
 [0,0.243033)
 [0,0.244288)
 [0,0.244905)
 [0,0.246619)
 [0,0.247808)
 [0,0.24797)
 [0,0.248361)
 [0,0.24867)
 [0,0.248803)
 [0,0.249025)
 [0,0.256233)
 [0,0.257781)
 [0,0.260708)
 [0,0.260748)
 [0,0.263168)
 [0,0.264233)
 [0,0.264365)
 [0,0.264487)
 [0,0.264498)
 [0,0.264828)
 [0,0.265982)
 [0,0.266059)
 [0,0.267693)
 [0,0.268246)
 [0,0.268926)
 [0,0.272284)
 [0,0.273648)
 [0,0.274852)
 [0,0.277624)
 [0,0.278726)
 [0,0.280516)
 [0,0.282592)
 [0,0.285517)
 [0,0.288838)
 [0,0.291315)
 [0,0.292195)
 [0,0.292405)
 [0,0.295668)
 [0,0.295802)
 [0,0.297058)
 [0,0.297837)
 [0,0.306878)
 [0,0.307387)
 [0,0.314817)
 [0,0.316187)
 [0,0.319289)
 [0,0.322406)
 [0,0.322921)
 [0,0.325879)
 [0,0.326199)
 [0,0.326763)
 [0,0.329609)
 [0,0.331716)
 [0,0.33304)
 [0,0.342525)
 [0,0.343073)
 [0,0.344182)
 [0,0.345356)
 [0,0.345493)
 [0,0.349153)
 [0,0.349447)
 [0,0.350783)
 [0,0.352913)
 [0,0.353123)
 [0,0.353601)
 [0,0.353912)
 [0,0.355115)
 [0,0.358769)
 [0,0.363802)
 [0,0.365714)
 [0,0.367855)
 [0,0.368475)
 [0,0.375798)
 [0,0.383065)
 [0,0.384743)
 [0,0.386371)
 [0,0.387274)
 [0,0.389585)
 [0,0.389747)
 [0,0.389815)
 [0,0.390759)
 [0,0.391762)
 [0,0.396385)
 [0,0.396755)
 [0,0.397472)
 [0,0.398815)
 [0,0.400903)
 [0,0.402341)
 [0,0.402927)
 [0,0.409422)
 [0,0.409483)
 [0,0.410061)
 [0,0.410409)
 [0,0.411102)
 [0,0.412148)
 [0,0.412448)
 [0,0.414419)
 [0,0.41659)
 [0,0.421025)
 [0,0.422669)
 [0,0.425644)
 [0,0.432155)
 [0,0.433248)
 [0,0.433407)
 [0,0.436325)
 [0,0.438261)
 [0,0.439193)
 [0,0.440446)
 [0,0.447375)
 [0,0.451501)
 [0,0.457344)
 [0,0.459288)
 [0,0.464176)
 [0,0.466797)
 [0,0.471273)
 [0,0.473422)
 [0,0.481329)
 [0,0.500168)
 [0,0.519877)
 [0,0.521087)
 [0,0.522218)
 [0,0.525267)
 [0,0.534183)
 [0, )
persistence intervals in dim 1:
 [0.992308,1.05616)
