distance matrix with 200 points
value range: [0.158287,5.2118]
persistence intervals in dim 0:
 [0,0.158287)
 [0,0.16342)
 [0,0.199725)
 [0,0.22425)
 [0,0.254589)
 [0,0.268419)
 [0,0.322107)
 [0,0.341203)
 [0,0.34805)
 [0,0.359788)
 [0,0.364054)
 [0,0.371883)
 [0,0.388462)
 [0,0.391596)
 [0,0.396506)
 [0,0.396643)
 [0,0.39669)
 [0,0.4108)
 [0,0.411469)
 [0,0.430589)
 [0,0.435161)
 [0,0.436632)
 [0,0.440106)
 [0,0.444901)
 [0,0.451036)
 [0,0.451355)
 [0,0.452703)
 [0,0.45753)
 [0,0.460307)
 [0,0.467804)
 [0,0.47007)
 [0,0.478045)
 [0,0.480509)
 [0,0.483608)
 [0,0.484027)
 [0,0.485534)
 [0,0.486361)
 [0,0.486728)
 [0,0.490261)
 [0,0.495421)
 [0,0.496962)
 [0,0.499244)
 [0,0.502666)
 [0,0.502675)
 [0,0.503179)
 [0,0.503489)
 [0,0.5121)
 [0,0.512868)
 [0,0.512872)
 [0,0.514159)
 [0,0.519044)
 [0,0.532091)
 [0,0.532103)
 [0,0.533104)
 [0,0.533407)
 [0,0.5363)
 [0,0.536382)
 [0,0.538132)
 [0,0.540281)
 [0,0.54688)
 [0,0.548356)
 [0,0.552146)
 [0,0.556791)
 [0,0.564755)
 [0,0.567881)
 [0,0.56819)
 [0,0.5709)
 [0,0.570916)
 [0,0.573953)
 [0,0.574578)
 [0,0.579343)
 [0,0.58039)
 [0,0.584034)
 [0,0.587639)
 [0,0.588059)
 [0,0.597139)
 [0,0.598676)
 [0,0.600884)
 [0,0.602538)
 [0,0.605294)
 [0,0.606462)
 [0,0.608279)
 [0,0.609093)
 [0,0.613588)
 [0,0.613878)
 [0,0.61694)
 [0,0.621242)
 [0,0.628161)
 [0,0.628755)
 [0,0.629612)
 [0,0.632202)
 [0,0.633873)
 [0,0.633925)
 [0,0.636312)
 [0,0.63723)
 [0,0.641077)
 [0,0.641781)
 [0,0.645334)
 [0,0.64631)
 [0,0.646682)
 [0,0.64964)
 [0,0.653112)
 [0,0.653268)
 [0,0.65982)
 [0,0.660476)
 [0,0.664298)
 [0,0.67009)
 [0,0.670545)
 [0,0.671147)
 [0,0.673333)
 [0,0.673358)
 [0,0.673549)
 [0,0.674655)
 [0,0.683906)
 [0,0.685795)
 [0,0.690373)
 [0,0.692721)
 [0,0.693964)
 [0,0.697789)
 [0,0.700759)
 [0,0.701587)
 [0,0.70627)
 [0,0.709416)
 [0,0.711154)
 [0,0.713331)
 [0,0.716046)
 [0,0.719766)
 [0,0.720744)
 [0,0.721455)
 [0,0.723548)
 [0,0.724826)
 [0,0.727114)
 [0,0.729823)
 [0,0.730079)
 [0,0.730227)
 [0,0.7328)
 [0,0.73409)
 [0,0.735275)
 [0,0.736595)
 [0,0.742552)
 [0,0.74341)
 [0,0.746788)
 [0,0.746798)
 [0,0.749194)
 [0,0.750748)
 [0,0.75497)
 [0,0.756203)
 [0,0.756659)
 [0,0.764842)
 [0,0.76618)
 [0,0.766468)
 [0,0.773118)
 [0,0.774183)
 [0,0.776181)
 [0,0.776283)
 [0,0.779351)
 [0,0.787209)
 [0,0.788901)
 [0,0.789389)
 [0,0.789648)
 [0,0.790436)
 [0,0.794706)
 [0,0.79533)
 [0,0.796811)
 [0,0.79688)
 [0,0.799376)
 [0,0.799608)
 [0,0.803499)
 [0,0.803699)
 [0,0.805595)
 [0,0.807978)
 [0,0.810718)
 [0,0.814689)
 [0,0.819437)
 [0,0.820792)
 [0,0.826591)
 [0,0.827312)
 [0,0.831033)
 [0,0.836019)
 [0,0.836195)
 [0,0.845701)
 [0,0.848319)
 [0,0.850162)
 [0,0.852816)
 [0,0.855672)
 [0,0.863738)
 [0,0.871438)
 [0,0.873099)
 [0,0.875913)
 [0,0.876357)
 [0,0.884789)
 [0,0.888829)
 [0,0.915274)
 [0,0.936191)
 [0,0.992458)
 [0,1.00979)
 [0,1.03125)
 [0,1.07037)
 [0,1.12731)
 [0, )
persistence intervals in dim 1:
 [1.6,1.6268)
 [1.49116,1.50673)
 [1.34793,1.37693)
 [1.34089,1.53685)
 [1.33276,1.39469)
 [1.31102,1.32173)
 [1.30488,1.3487)
 [1.28541,1.48812)
 [1.26416,1.64981)
 [1.18914,1.27392)
 [1.16763,1.39879)
 [1.16318,1.24428)
 [1.16304,1.21062)
 [1.15499,1.3873)
 [1.15346,1.45554)
 [1.14,1.67284)
 [1.13464,1.2751)
 [1.128,1.14298)
 [1.12772,1.2885)
 [1.12091,1.25349)
 [1.11042,1.55464)
 [1.09593,1.53211)
 [1.08245,1.14554)
 [1.08084,1.14648)
 [1.08079,1.51792)
 [1.07454,1.32191)
 [1.07212,1.86908)
 [1.0697,1.0923)
